Sig1	Sig2	Sig3																
204.59	1.995	0																
306.885	39.9	0																
300.984	60.848	0																
320.656	80.798	0																
304.918	100.748	0																
232.131	4.988	2																
299.016	18.953	2																
326.557	40.898	2																
358.033	61.845	2																
352.131	80.798	2																
354.098	102.743	2																
430.82	21.945	20																
529.18	40.898	20																
558.689	63.84	20																
548.852	61.845	20																
535.082	80.798	20																
574.426	100.748	20																
568.525	114.713	20																
603.934	149.626	20																
639.344	203.491	20																
600	61.845	20																
603.934	38.903	38																
619.672	37.905	38																
700.328	58.853	38																
731.803	79.8	38																
721.967	104.738	38																
723.934	119.701	38																
729.836	157.606	38																
780.984	199.501	38																
747.541	57.855	60																
812.459	91.771	60																
822.295	113.716	60																
859.672	184.539	60																
859.672	250.374	60																
885.246	78.803	77																
952.131	104.738	77																
985.574	143.641	77																
993.443	214.464	77																
1001.311	313.217	77																
1011.148	102.743	100																
1103.607	166.584	100																
1148.852	168.579	100																
1154.754	217.456	100																
1192.131	265.337	100																
1129.18	315.212	100																
